G-number,G-number Full,Value
0185.00,018500,UND
0186.00,018600,UND
0187.00,018700,k'aba'
0188.00,018800,le
0189.00,018900,zuk
0189.00,018900,zu
0189.00,018900,ah
0190.00,019000,c'ak
0191.00,019100,u
0192.00,019200,otoc
0193.00,019300,k'al
0194.00,019400,UND
0195.00,019500,UND
0196.00,019600,ye
0197.00,019700,UND
0198.00,019800,UND
0199.00,019900,UND
0200.00,020000,pi
0200.01,020001,pi
0201.00,020100,po
0202.00,020200,pa
0203.00,020300,z'u
0204.00,020400,u
0205.00,020500,u
0205.01,020501,u
0206.00,020600,UND
0207.00,020700,oc
0207.01,020701,oc
0208.00,020800,UND
0209.00,020900,UND
0210.00,021000,UND
0211.00,021100,u
0212.00,021200,k'ix
0212.01,021201,k'ix
0213.00,021300,lakam
0213.01,021301,lakam
0214.00,021400,UND
0215.00,021500,UND
0216.00,021600,su
0217.00,021700,UND
0218.00,021800,hom
0218.00,021800,lah
0218.01,021801,hom
0218.01,021801,lah
0218.02,021802,ca
0219.00,021900,ci
0220.00,022000,UND
0220.01,022001,UND
0220.02,022002,ye
0220.03,022003,k'u
0220.02,022002,UND
0221.00,022100,ca
0221.01,022101,k'inic
0221.02,022102,UND
0221.03,022103,UND
0222.00,022200,UND
0222.01,022201,UND
0223.00,022300,hu
0224.00,022400,UND
0225.00,022500,na
0226.00,022600,wa
0227.00,022700,wa
0227.01,022701,wa
0228.00,022800,a
0229.00,022900,a
0229.01,022901,a
0230.00,023000,UND
0231.00,023100,u
0232.00,023200,u
0232.01,023201,u
0233.00,023300,UND
0233.01,023301,UND
0234.00,023400,UND
0235.00,023500,UND
0236.00,023600,c'a
0236.00,023600,yaxun
0236.01,023601,c'a
0236.01,023601,yaxun
0236.02,023602,c'a
0236.02,023602,yaxun
0237.00,023700,i
0237.01,023701,i
0238.00,023800,a
0239.00,023900,UND
0240.00,024000,UND
0240.01,024001,UND
0241.00,024100,UND
0241.01,024101,wi
241.02,241.02,UND
0242.00,024200,UND
0243.00,024300,UND
0244.00,024400,UND
0245.00,024500,malah
0245.01,024501,malah
0246.00,024600,hi-i
0247.00,024700,UND
