G-number,G-number Full,Value
0561.00,056100,can
0561.00,056100,can
0145.00,014500,ce
0145.00,014500,ce
0219.00,021900,ci
0219.00,021900,ci
0754.00,075400,citam
0754.00,075400,citam
0515.00,051500,co
0515.00,051500,cu
0542.00,054200,e
0542.00,054200,e
0542.00,054200,e
0542.00,054200,e
0095.00,009500,ek'
0180.00,018000,ha
0180.00,018000,ha
0180.00,018000,ha
0153.00,015300,hal
0069.00,006900,he
0589.00,058900,ho
0653.00,065300,hul
0060.01,006001,hun
0237.00,023700,i
0503.00,050300,ik
0503.00,050300,ik
0025.00,002500,ka
0764.00,076400,kaan
0764.00,076400,kaan
0526.00,052600,kab
0506.00,050600,kan
0506.00,050600,kan
0506.00,050600,kan
0509.00,050900,kimi
0110.00,011000,ko
0139.00,013900,la
0183.00,018300,lak
0056.00,005600,le
0056.00,005600,le
0056.00,005600,le
0568.00,056800,lu
0071.00,007100,ma
0004.00,000400,na
0004.00,000400,na
0685.00,068500,nah
0685.00,068500,nah
0116.00,011600,ni
0279.00,027900,o
0279.00,027900,o
0279.00,027900,o
0279.00,027900,o
0207.00,020700,oc
0567.00,056700,ok
0567.00,056700,ok
0155.00,015500,ol
0192.00,019200,otoc
0058.00,005800,sak
0058.00,005800,sak
0759.00,075900,t'ul
0552.00,055200,tan
0552.00,055200,tan
0552.00,055200,tan
0552.00,055200,tan
0059.00,005900,te
1071.00,107100,te'
1071.00,107100,te'
0528.00,052800,tun
0528.00,052800,tun
0528.00,052800,tun
0001.00,000100,u
0001.00,000100,u
0001.00,000100,u
0367.00,036700,wak
0521.00,052100,winik
0521.00,052100,winik
0529.00,052900,wiz
0016.00,001600,yax
0016.00,001600,yax
0068.00,006800,z'a
0203.00,020300,z'u
0699.00,069900,za
0124.00,012400,zo
0121.00,012100,zuk
